Ticket,Symbol,Type,EntryPrice,ExitPrice,SL,TP,Profit,Spread_Cost,Commission,Swap,Net_Profit,Session,Session_IsDST,EntryTime,ExitTime,LotSize,MagicNumber,Timeframe,Status,Reject_Reason,BodyRatio,BodyRatioMin,BodyRatioPassed,BodyRatioMode,InitialSL,InitialTP,FinalSL,FinalTP,InitialRiskPoints,InitialRewardPoints,FinalRiskPoints,FinalRewardPoints,TrailingModified,TrailingCount,TPExpanded,TPExpandCount,MaxFavorablePoints,MaxAdversePoints,CloseReason
0,XAUUSD,SELL,5124.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,NO,2026.03.12 17:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
0,XAUUSD,SELL,5041.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,NO,2026.03.13 17:00:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
32,XAUUSD,SELL,4825.75,4856.06,4855.80,4795.75,-151.30,0.25,0.00,-0.69,-151.99,NewYork,NO,2026.03.18 22:15:00,2026.03.19 03:36:30,0.01,12345,M15,EXECUTED,N/A,0.69,0.40,YES,H4_STRETCHED_STRICT,4855.75,4795.75,4855.80,4795.75,3000,3000,3005,3000,YES,6,NO,0,2027,2995,STOP_LOSS
34,XAUUSD,SELL,4786.16,4761.11,4816.16,4761.16,125.50,0.25,0.00,0.00,125.50,Asia,NO,2026.03.19 08:45:00,2026.03.19 08:49:06,0.01,12345,M15,EXECUTED,N/A,0.69,0.40,YES,H4_STRETCHED_STRICT,4816.16,4761.16,4816.16,4761.16,3000,2500,3000,2500,NO,0,NO,0,2471,254,TAKE_PROFIT
36,XAUUSD,SELL,4483.03,4453.00,4513.03,4453.03,150.40,0.25,0.00,0.00,150.40,Sydney_Tokyo_Overlap,NO,2026.03.26 07:45:00,2026.03.26 07:56:26,0.01,12345,M15,EXECUTED,N/A,0.68,0.40,YES,H4_STRETCHED_STRICT,4513.03,4453.03,4513.03,4453.03,3000,3000,3000,3000,NO,0,NO,0,2957,144,TAKE_PROFIT
38,XAUUSD,SELL,4396.59,4371.59,4426.59,4371.59,125.25,0.25,0.00,0.00,125.25,NewYork,NO,2026.03.26 18:30:00,2026.03.26 18:38:13,0.01,12345,M15,EXECUTED,N/A,0.82,0.40,YES,H4_STRETCHED_STRICT,4426.59,4371.59,4426.59,4371.59,3000,2500,3000,2500,NO,0,NO,0,2451,11,TAKE_PROFIT
0,XAUUSD,BUY,4566.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,YES,2026.03.30 14:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
0,XAUUSD,BUY,4581.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sydney_Tokyo_Overlap,YES,2026.03.31 04:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
0,XAUUSD,BUY,4623.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,YES,2026.03.31 18:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
40,XAUUSD,BUY,4818.20,4848.42,4803.42,4848.20,150.00,0.25,0.00,0.00,150.00,Sydney_Tokyo_Overlap,YES,2026.04.08 02:00:00,2026.04.08 03:02:06,0.01,12345,M15,EXECUTED,N/A,0.83,0.15,YES,H4_ADAPTIVE_TREND,4788.20,4848.20,4803.42,4848.20,3000,3000,1478,3000,YES,2,NO,0,2990,1606,TAKE_PROFIT
