Ticket,Symbol,Type,EntryStructure,CloseType,EntryPrice,ExitPrice,SL,TP,Profit,Spread_Cost,Commission,Swap,Net_Profit,Session,Session_IsDST,EntryTime,ExitTime,LotSize,MagicNumber,Timeframe,Status,Reject_Reason,BodyRatio,BodyRatioMin,BodyRatioPassed,BodyRatioMode,InitialSL,InitialTP,FinalSL,FinalTP,InitialRiskPoints,InitialRewardPoints,FinalRiskPoints,FinalRewardPoints,TrailingModified,TrailingCount,TPExpanded,TPExpandCount,MaxFavorablePoints,MaxAdversePoints,CloseReason
40,XAUUSD,BUY,BoS_1,EXPERT_CLOSE,1606.74,1608.01,1592.39,1628.16,15.82,5.46,0.00,-5.29,10.53,London,NO,2020.02.19 10:15:00,2020.02.20 10:15:00,0.14,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1592.39,1628.16,1592.39,1628.16,1435,2142,1435,2142,NO,0,NO,0,617,436,EXPERT_CLOSE
42,XAUUSD,BUY,CHoCH,PROFIT_TARGET,1614.23,1635.80,1613.21,1643.08,300.30,5.18,0.00,-1.76,298.54,London,NO,2020.02.20 13:45:00,2020.02.21 10:07:48,0.14,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1596.67,1635.75,1613.21,1643.08,1756,2152,102,2885,YES,21,YES,1,2157,57,Profit >= 300.00 USD (Running: 300.30 USD, Hold: 20 jam)
43,XAUUSD,BUY,BoS_1,EXPERT_CLOSE,1624.39,1646.02,1621.30,1654.40,300.16,5.32,0.00,0.00,300.16,Sydney_Tokyo_Overlap,NO,2020.02.21 04:30:00,2020.02.21 16:47:12,0.14,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1608.81,1646.05,1621.30,1654.40,1558,2166,309,3001,YES,9,YES,1,2153,183,EXPERT_CLOSE
0,XAUUSD,BUY,REJECTED,REJECTED,1682.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,NO,2020.02.24 10:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,Max BOS Cycle Limit (2),0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
46,XAUUSD,BUY,BoS_2,HIT_SL,1673.34,1665.26,1665.83,1695.65,-117.78,20.67,0.00,0.00,-117.78,Sydney_Tokyo_Overlap,NO,2020.02.24 01:15:00,2020.02.24 21:24:51,0.13,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1651.03,1695.65,1665.83,1695.65,2231,2231,751,2231,YES,5,NO,0,1591,1484,STOP_LOSS
0,XAUUSD,SELL,REJECTED,REJECTED,1634.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Asia,NO,2020.02.25 08:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
0,XAUUSD,SELL,REJECTED,REJECTED,1629.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sydney,NO,2020.02.25 23:00:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
0,XAUUSD,SELL,REJECTED,REJECTED,1640.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NewYork,NO,2020.02.27 19:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,CHoCH H1 EMA200 Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
48,XAUUSD,BUY,CHoCH,HIT_SL,1653.55,1634.69,1634.69,1675.60,-269.78,7.56,0.00,-1.76,-271.54,London_NewYork_Overlap,NO,2020.02.27 15:00:00,2020.02.28 06:10:14,0.14,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1633.93,1675.60,1634.69,1675.60,1962,2205,1886,2205,YES,1,NO,0,682,1861,STOP_LOSS
0,XAUUSD,SELL,REJECTED,REJECTED,1585.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sydney,NO,2020.03.02 23:00:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,CHoCH H4 EMA Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
50,XAUUSD,BUY,BoS_1,EXPERT_CLOSE,1654.62,1676.34,1652.51,1684.43,300.30,9.66,0.00,-1.76,298.54,London_NewYork_Overlap,NO,2020.03.05 15:30:00,2020.03.06 02:44:57,0.14,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1632.56,1676.68,1652.51,1684.43,2206,2206,211,2981,YES,20,YES,1,2158,307,EXPERT_CLOSE
52,XAUUSD,BUY,BoS_2,HIT_SL,1694.49,1675.97,1678.37,1717.08,-243.75,12.48,0.00,0.00,-243.75,Sydney_Tokyo_Overlap,NO,2020.03.09 01:15:00,2020.03.09 05:51:52,0.13,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1671.90,1717.08,1678.37,1717.08,2259,2259,1612,2259,YES,3,NO,0,895,1562,STOP_LOSS
0,XAUUSD,SELL,REJECTED,REJECTED,1656.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sydney_Tokyo_Overlap,NO,2020.03.10 07:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,CHoCH H1 EMA200 Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
0,XAUUSD,SELL,REJECTED,REJECTED,1648.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NewYork,NO,2020.03.10 21:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
54,XAUUSD,BUY,CHoCH,HIT_SL,1668.33,1646.13,1646.31,1690.57,-291.59,6.76,0.00,0.00,-291.59,London_NewYork_Overlap,NO,2020.03.11 14:15:00,2020.03.11 17:42:04,0.13,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1646.09,1690.57,1646.31,1690.57,2224,2224,2202,2224,YES,1,NO,0,291,2168,STOP_LOSS
0,XAUUSD,SELL,REJECTED,REJECTED,1638.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NewYork,NO,2020.03.11 20:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,CHoCH H4 EMA Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
0,XAUUSD,SELL,REJECTED,REJECTED,1626.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,NO,2020.03.12 14:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
56,XAUUSD,SELL,BoS_2,HIT_SL,1554.96,1576.13,1575.69,1534.23,-295.68,14.28,0.00,0.00,-295.68,Sydney_Tokyo_Overlap,NO,2020.03.13 03:45:00,2020.03.13 06:37:31,0.14,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1575.69,1534.23,1575.69,1534.23,2073,2073,2073,2073,NO,0,NO,0,343,2064,STOP_LOSS
0,XAUUSD,SELL,REJECTED,REJECTED,1543.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,NO,2020.03.13 17:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,Max BOS Cycle Limit (2),0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
0,XAUUSD,SELL,REJECTED,REJECTED,1502.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,NO,2020.03.16 12:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,Max BOS Cycle Limit (2),0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
0,XAUUSD,BUY,REJECTED,REJECTED,1534.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,NO,2020.03.17 17:00:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,CHoCH H1 EMA200 Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
58,XAUUSD,SELL,CHoCH,HIT_SL,1471.70,1486.56,1486.54,1452.08,-218.85,18.15,0.00,0.00,-218.85,Sydney_Tokyo_Overlap,NO,2020.03.19 05:00:00,2020.03.19 08:48:15,0.15,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1491.32,1452.08,1486.54,1452.08,1962,1962,1484,1962,YES,2,NO,0,924,1480,STOP_LOSS
0,XAUUSD,BUY,REJECTED,REJECTED,1499.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Asia,NO,2020.03.20 08:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,CHoCH H1 EMA200 Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
0,XAUUSD,BUY,REJECTED,REJECTED,1518.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,NO,2020.03.23 14:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
0,XAUUSD,SELL,REJECTED,REJECTED,1613.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sydney_Tokyo_Overlap,YES,2020.03.30 08:15:01,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,CHoCH H1 EMA200 Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
0,XAUUSD,SELL,REJECTED,REJECTED,1605.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,YES,2020.03.31 12:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
0,XAUUSD,SELL,REJECTED,REJECTED,1591.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NewYork,YES,2020.03.31 20:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
60,XAUUSD,BUY,CHoCH,EXPERT_CLOSE,1601.34,1614.63,1598.30,1632.40,170.24,38.78,0.00,-1.76,168.48,London_NewYork_Overlap,YES,2020.04.02 15:15:00,2020.04.03 15:15:00,0.14,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1579.99,1622.69,1598.30,1632.40,2135,2135,304,3106,YES,12,YES,1,1946,137,EXPERT_CLOSE
62,XAUUSD,BUY,BoS_1,EXPERT_CLOSE,1623.72,1614.62,1602.47,1645.37,-133.14,31.22,0.00,-1.76,-134.90,NewYork,YES,2020.04.03 22:00:00,2020.04.06 01:05:00,0.14,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1602.07,1645.37,1602.47,1645.37,2165,2165,2125,2165,YES,1,NO,0,232,816,EXPERT_CLOSE
64,XAUUSD,BUY,BoS_2,EXPERT_CLOSE,1628.42,1650.53,1626.86,1663.06,300.58,18.90,0.00,0.00,300.58,Asia,YES,2020.04.06 09:45:02,2020.04.06 17:12:40,0.14,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1606.71,1650.13,1626.86,1663.06,2171,2171,156,3464,YES,13,YES,1,2206,555,EXPERT_CLOSE
66,XAUUSD,BUY,CHoCH,EXPERT_CLOSE,1660.25,1682.32,1655.57,1692.48,300.02,21.28,0.00,0.00,300.02,London,YES,2020.04.09 12:30:00,2020.04.09 16:44:45,0.14,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1638.11,1682.39,1655.57,1692.48,2214,2214,468,3223,YES,8,YES,1,2194,516,EXPERT_CLOSE
68,XAUUSD,BUY,BoS_1,EXPERT_CLOSE,1692.86,1716.90,1691.78,1724.15,300.69,14.82,0.00,0.00,300.69,London_NewYork_Overlap,YES,2020.04.13 15:15:01,2020.04.13 20:22:52,0.13,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1672.27,1715.43,1691.78,1724.15,2059,2257,108,3129,YES,8,YES,1,2395,662,EXPERT_CLOSE
70,XAUUSD,BUY,CHoCH,HIT_SL,1732.09,1713.76,1713.92,1755.18,-243.36,16.64,0.00,0.00,-243.36,London,YES,2020.04.16 14:00:00,2020.04.16 19:32:38,0.13,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1709.00,1755.18,1713.92,1755.18,2309,2309,1817,2309,YES,3,NO,0,657,1815,STOP_LOSS
0,XAUUSD,SELL,REJECTED,REJECTED,1706.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sydney,YES,2020.04.17 01:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,CHoCH H1 EMA200 Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
0,XAUUSD,SELL,REJECTED,REJECTED,1680.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NewYork,YES,2020.04.17 21:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
