Ticket,Symbol,Type,EntryPrice,ExitPrice,SL,TP,Profit,Spread_Cost,Commission,Swap,Net_Profit,Session,Session_IsDST,EntryTime,ExitTime,LotSize,MagicNumber,Timeframe,Status,Reject_Reason,ExitType
12,XAUUSD,BUY,2002.47,1971.97,1972.47,2037.47,-152.75,0.25,0.00,0.00,-152.75,London,NO,2022.03.07 13:00:00,2022.03.07 15:20:00,0.01,12345,M15,EXECUTED,N/A,STOP_LOSS
14,XAUUSD,BUY,2028.26,2063.26,1998.26,2063.26,175.75,0.25,0.00,0.00,175.75,London_NewYork_Overlap,NO,2022.03.08 16:45:00,2022.03.08 17:08:13,0.01,12345,M15,EXECUTED,N/A,TAKE_PROFIT
0,XAUUSD,SELL,1967.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,NO,2022.03.11 14:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,
0,XAUUSD,SELL,1954.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,NO,2022.03.14 16:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,
0,XAUUSD,SELL,1947.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sydney_Tokyo_Overlap,NO,2022.03.15 03:00:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,
0,XAUUSD,SELL,1904.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NewYork,NO,2022.03.16 20:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,
0,XAUUSD,SELL,1914.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,NO,2022.03.22 16:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,
0,XAUUSD,SELL,1942.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sydney_Tokyo_Overlap,YES,2022.03.28 07:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,
16,XAUUSD,BUY,1952.09,1922.15,1922.09,1987.09,-150.20,0.25,0.00,-1.26,-151.46,London,NO,2022.03.24 13:45:00,2022.03.28 22:05:41,0.01,12345,M15,EXECUTED,N/A,STOP_LOSS
0,XAUUSD,SELL,1921.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NewYork,YES,2022.03.28 22:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,
18,XAUUSD,SELL,1913.55,1943.60,1943.55,1878.55,-150.00,0.25,0.00,-0.92,-150.92,London,YES,2022.03.29 11:45:00,2022.03.31 18:26:31,0.01,12345,M15,EXECUTED,N/A,STOP_LOSS
0,XAUUSD,SELL,1917.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sydney_Tokyo_Overlap,YES,2022.04.04 07:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,
20,XAUUSD,BUY,1939.11,1970.47,1917.67,1974.11,156.65,0.25,0.00,-1.26,155.39,London_NewYork_Overlap,YES,2022.04.08 16:45:00,2022.04.12 16:00:00,0.01,12345,M15,EXECUTED,N/A,ACTIVE_3_BOS
22,XAUUSD,SELL,1932.40,1879.85,1962.40,1897.40,263.00,0.25,0.00,-1.38,261.62,London,YES,2022.04.22 13:30:00,2022.04.28 06:15:00,0.01,12345,M15,EXECUTED,N/A,ACTIVE_3_BOS
24,XAUUSD,SELL,1853.88,1883.93,1877.08,1818.88,-150.00,0.25,0.00,-0.23,-150.23,Tokyo_London_Overlap,YES,2022.05.03 10:15:00,2022.05.04 21:53:31,0.01,12345,M15,EXECUTED,N/A,STOP_LOSS
0,XAUUSD,BUY,1886.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NewYork,YES,2022.05.04 22:00:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter,
