entry_time,exit_time,direction,entry_session_id,entry_session,exit_session_id,exit_session,exit_reason,gross_points,net_points,hold_bars,sleeve
2015-03-31 10:45:00,2015-03-31 13:00:00,SHORT,411,Tokyo_London_Overlap,412,London,SL,-2.759623303950093,-3.219623303950093,9,TrendFollow_H1_Donchian_ADXfiltered
2015-03-31 15:00:00,2015-03-31 20:00:00,LONG,413,London_NewYork_Overlap,414,NewYork,SL,-3.2363239762446483,-3.7363239762446483,20,TrendFollow_H1_Donchian_ADXfiltered
2015-04-01 19:15:00,2015-04-02 12:15:00,LONG,421,NewYork,426,London,SL,-4.672593123781098,-5.142593123781098,64,TrendFollow_H1_Donchian_ADXfiltered
2015-04-06 01:00:00,2015-04-06 10:30:00,LONG,431,Sydney,434,Tokyo_London_Overlap,TP,5.474440366636145,4.544440366636145,38,Sydney_BollingerMeanReversion
2015-04-06 03:00:00,2015-04-06 10:30:00,LONG,432,Sydney_Tokyo_Overlap,434,Tokyo_London_Overlap,TP,4.208257866629538,3.5982578666295377,30,TrendFollow_H1_Donchian_ADXfiltered
2015-04-06 18:00:00,2015-04-06 18:45:00,LONG,436,London_NewYork_Overlap,436,London_NewYork_Overlap,SL,-4.057816173914716,-4.5478161739147165,3,TrendFollow_H1_Donchian_ADXfiltered
2015-04-09 04:00:00,2015-04-09 08:45:00,SHORT,453,Sydney_Tokyo_Overlap,453,Sydney_Tokyo_Overlap,TP,4.4073464053067255,3.8873464053067255,19,TrendFollow_H1_Donchian_ADXfiltered
2015-04-09 14:45:00,2015-04-09 15:30:00,LONG,456,London,457,London_NewYork_Overlap,SL,-2.8875787643207786,-3.3875787643207786,3,TrendFollow_H1_Donchian_ADXfiltered
2015-04-09 16:30:00,2015-04-10 07:30:00,SHORT,457,London_NewYork_Overlap,460,Sydney_Tokyo_Overlap,SL,-3.5552049547827664,-4.045204954782767,56,TrendFollow_H1_Donchian_ADXfiltered
2015-04-10 11:15:00,2015-04-10 15:00:00,LONG,463,London,464,London_NewYork_Overlap,SL,-3.1665174713923534,-3.6665174713923534,15,TrendFollow_H1_Donchian_ADXfiltered
2015-04-10 16:15:00,2015-04-10 19:45:00,LONG,464,London_NewYork_Overlap,465,NewYork,SL,-4.148183991962242,-4.578183991962241,14,TrendFollow_H1_Donchian_ADXfiltered
2015-04-13 04:00:00,2015-04-13 05:00:00,LONG,467,Sydney_Tokyo_Overlap,467,Sydney_Tokyo_Overlap,SL,-1.8007724001888619,-2.3107724001888617,4,TrendFollow_H1_Donchian_ADXfiltered
2015-04-14 01:00:00,2015-04-14 08:30:00,LONG,473,Sydney,474,Sydney_Tokyo_Overlap,SL,-1.5028410214067662,-2.1828410214067664,30,Sydney_BollingerMeanReversion
2015-04-14 15:00:00,2015-04-14 15:30:00,SHORT,478,London_NewYork_Overlap,478,London_NewYork_Overlap,SL,-3.512427268698957,-3.992427268698957,2,TrendFollow_H1_Donchian_ADXfiltered
2015-04-16 10:45:00,2015-04-16 12:00:00,LONG,490,Tokyo_London_Overlap,491,London,SL,-3.531146242144132,-4.041146242144132,5,TrendFollow_H1_Donchian_ADXfiltered
2015-04-16 17:00:00,2015-04-17 10:30:00,SHORT,492,London_NewYork_Overlap,497,Tokyo_London_Overlap,SL,-3.834432900523325,-4.334432900523325,66,TrendFollow_H1_Donchian_ADXfiltered
2015-04-21 01:15:00,2015-04-21 04:00:00,SHORT,508,Sydney,509,Sydney_Tokyo_Overlap,TP,2.860182780540299,2.270182780540299,11,Sydney_BollingerMeanReversion
2015-04-21 04:00:00,2015-04-21 05:15:00,SHORT,509,Sydney_Tokyo_Overlap,509,Sydney_Tokyo_Overlap,SL,-1.7497208685335863,-2.2397208685335865,5,TrendFollow_H1_Donchian_ADXfiltered
2015-04-21 09:45:00,2015-04-21 11:15:00,SHORT,510,Asia,512,London,SL,-1.7843620712483244,-2.2743620712483246,6,TrendFollow_H1_Donchian_ADXfiltered
2015-04-21 14:30:00,2015-04-21 16:15:00,LONG,512,London,513,London_NewYork_Overlap,SL,-2.045522500629204,-2.395522500629204,7,TrendFollow_H1_Donchian_ADXfiltered
2015-04-23 04:15:00,2015-04-23 05:00:00,SHORT,523,Sydney_Tokyo_Overlap,523,Sydney_Tokyo_Overlap,SL,-2.0737653832936758,-2.4537653832936757,3,TrendFollow_H1_Donchian_ADXfiltered
2015-04-23 10:00:00,2015-04-23 10:30:00,SHORT,525,Tokyo_London_Overlap,525,Tokyo_London_Overlap,SL,-2.2066977791794216,-2.5466977791794214,2,TrendFollow_H1_Donchian_ADXfiltered
2015-04-23 16:15:00,2015-04-23 17:30:00,SHORT,527,London_NewYork_Overlap,527,London_NewYork_Overlap,SL,-3.3488208311889593,-3.7288208311889592,5,TrendFollow_H1_Donchian_ADXfiltered
2015-04-27 17:00:00,2015-04-27 19:45:00,LONG,541,London_NewYork_Overlap,542,NewYork,TP,6.67262487377252,6.22262487377252,11,TrendFollow_H1_Donchian_ADXfiltered
2015-04-28 17:00:00,2015-04-29 11:00:00,LONG,548,London_NewYork_Overlap,554,London,SL,-4.613012341601234,-5.033012341601234,68,TrendFollow_H1_Donchian_ADXfiltered
2015-04-29 15:30:00,2015-04-29 15:45:00,LONG,555,London_NewYork_Overlap,555,London_NewYork_Overlap,SL,-3.099312850479464,-3.519312850479464,1,TrendFollow_H1_Donchian_ADXfiltered
2015-04-30 11:30:00,2015-04-30 13:15:00,LONG,561,London,561,London,SL,-3.2783491549880637,-3.6983491549880636,7,TrendFollow_H1_Donchian_ADXfiltered
2015-04-30 15:30:00,2015-04-30 15:45:00,SHORT,562,London_NewYork_Overlap,562,London_NewYork_Overlap,TP,6.220075654575794,5.770075654575794,1,TrendFollow_H1_Donchian_ADXfiltered
2015-04-30 16:00:00,2015-04-30 16:45:00,SHORT,562,London_NewYork_Overlap,562,London_NewYork_Overlap,TP,7.6964938042006,7.2264938042006,3,TrendFollow_H1_Donchian_ADXfiltered
2015-04-30 17:00:00,2015-04-30 22:00:00,SHORT,562,London_NewYork_Overlap,563,NewYork,SL,-6.145017519467046,-6.565017519467046,20,TrendFollow_H1_Donchian_ADXfiltered
2015-05-01 06:45:00,2015-05-01 12:00:00,SHORT,565,Sydney_Tokyo_Overlap,568,London,TP,2.367193686337714,2.0071936863377142,21,TrendFollow_H1_Donchian_ADXfiltered
2015-05-01 15:00:00,2015-05-01 15:30:00,SHORT,569,London_NewYork_Overlap,569,London_NewYork_Overlap,TP,4.282719048244871,3.9027190482448715,2,TrendFollow_H1_Donchian_ADXfiltered
2015-05-04 11:00:00,2015-05-04 13:00:00,SHORT,575,London,575,London,SL,-1.9350416524737284,-2.3550416524737283,8,TrendFollow_H1_Donchian_ADXfiltered
2015-05-04 13:15:00,2015-05-04 15:45:00,SHORT,575,London,576,London_NewYork_Overlap,SL,-1.87571841515296,-2.28571841515296,10,TrendFollow_H1_Donchian_ADXfiltered
2015-05-05 03:30:00,2015-05-05 04:00:00,SHORT,579,Sydney_Tokyo_Overlap,579,Sydney_Tokyo_Overlap,SL,-1.6903150892410395,-2.1003150892410396,2,TrendFollow_H1_Donchian_ADXfiltered
2015-05-06 02:45:00,2015-05-06 03:45:00,LONG,586,Sydney_Tokyo_Overlap,586,Sydney_Tokyo_Overlap,SL,-1.7170056225834287,-2.1370056225834286,4,TrendFollow_H1_Donchian_ADXfiltered
2015-05-06 05:00:00,2015-05-06 10:00:00,LONG,586,Sydney_Tokyo_Overlap,588,Tokyo_London_Overlap,SL,-1.5062861717462965,-1.8962861717462967,20,TrendFollow_H1_Donchian_ADXfiltered
