strategy,sltp_profile,entry_session,exit_session,trades,win_rate,profit_factor,net_profit,expectancy,max_drawdown
Combo_EMACross_ATRVolatilityFilter,RR3.0_SL1.0ATR,London,Sydney_Tokyo_Overlap,1,1.0,inf,19.504204945229684,19.504204945229684,0.0
Combo_H1Trend_M15DonchianBreakout,RR2.0_SL1.5ATR,Asia,Sydney_Tokyo_Overlap,1,1.0,inf,4.810018418821264,4.810018418821264,0.0
Combo_EMA200Trend_RSI50Pullback,RR2.0_SL1.5ATR,Sydney,Tokyo_London_Overlap,1,1.0,inf,2.8615849173196146,2.8615849173196146,0.0
Combo_EMA200Trend_RSI50Pullback,RR2.0_SL1.5ATR,Tokyo_London_Overlap,NewYork,1,1.0,inf,13.712949826200592,13.712949826200592,0.0
Combo_EMA200Trend_RSI50Pullback,RR3.0_SL1.0ATR,London,Sydney_Tokyo_Overlap,1,1.0,inf,22.90149454391918,22.90149454391918,0.0
Combo_EMA200Trend_RSI50Pullback,RR3.0_SL1.0ATR,London,Tokyo_London_Overlap,1,1.0,inf,11.69180209076394,11.69180209076394,0.0
RSI_Reversion_30_70,RR1.5_SL1.0ATR,NewYork,London_NewYork_Overlap,2,1.0,inf,8.752395715625624,4.376197857812812,0.0
Combo_EMA200Trend_RSI50Pullback,RR3.0_SL1.0ATR,Tokyo_London_Overlap,NewYork,1,1.0,inf,4.0128101509734275,4.0128101509734275,0.0
Combo_H1Trend_M15DonchianBreakout,RR2.0_SL1.5ATR,London,Sydney_Tokyo_Overlap,2,1.0,inf,22.053893371951936,11.026946685975968,0.0
Combo_EMACross_ATRVolatilityFilter,RR2.0_SL1.5ATR,Sydney,London,1,1.0,inf,9.73953981267483,9.73953981267483,0.0
Combo_H1Trend_M15DonchianBreakout,RR1.5_SL1.0ATR,Sydney,Asia,1,1.0,inf,5.195182895926064,5.195182895926064,0.0
Donchian20_Breakout,RR3.0_SL1.0ATR,Sydney,London_NewYork_Overlap,1,1.0,inf,3.3971690535891685,3.3971690535891685,0.0
Combo_H1Trend_M15DonchianBreakout,RR3.0_SL1.0ATR,Asia,Sydney_Tokyo_Overlap,1,1.0,inf,4.810018418821264,4.810018418821264,0.0
Combo_H1Trend_M15DonchianBreakout,RR2.0_SL1.5ATR,Tokyo_London_Overlap,NewYork,1,1.0,inf,3.959563520378306,3.959563520378306,0.0
Combo_H1Trend_M15DonchianBreakout,RR2.0_SL1.5ATR,Sydney,London,3,1.0,inf,16.85457959235646,5.618193197452153,0.0
Combo_H1Trend_M15DonchianBreakout,RR2.0_SL1.5ATR,Sydney,Asia,1,1.0,inf,10.602339594142995,10.602339594142995,0.0
Combo_RSIReversion_BollingerBand,RR3.0_SL1.0ATR,Sydney,London,1,1.0,inf,16.622307770589416,16.622307770589416,0.0
Combo_MACDCross_BollingerBreakout,RR3.0_SL1.0ATR,Sydney,London,3,1.0,inf,13.828276791092222,4.60942559703074,0.0
Combo_MACDCross_BollingerBreakout,RR3.0_SL1.0ATR,Sydney,London_NewYork_Overlap,1,1.0,inf,3.2059426926185095,3.2059426926185095,0.0
Combo_H4Trend_OpeningRangeBreakout,RR1.5_SL1.0ATR,London,NewYork,1,1.0,inf,24.715341860730167,24.715341860730167,0.0
Donchian20_Breakout,RR1.5_SL1.0ATR,Sydney,Asia,1,1.0,inf,5.195182895926064,5.195182895926064,0.0
Donchian20_Breakout,RR3.0_SL1.0ATR,Sydney,Tokyo_London_Overlap,1,1.0,inf,4.53117562225254,4.53117562225254,0.0
Combo_H1Trend_M15DonchianBreakout,RR3.0_SL1.0ATR,London,Sydney_Tokyo_Overlap,1,1.0,inf,19.504204945229684,19.504204945229684,0.0
Donchian20_Breakout,RR3.0_SL1.0ATR,London,Sydney_Tokyo_Overlap,1,1.0,inf,19.504204945229684,19.504204945229684,0.0
Combo_H1Trend_M15DonchianBreakout,RR3.0_SL1.0ATR,Sydney,London_NewYork_Overlap,1,1.0,inf,3.3971690535891685,3.3971690535891685,0.0
Combo_H1Trend_M15DonchianBreakout,RR3.0_SL1.0ATR,Sydney,Tokyo_London_Overlap,2,1.0,inf,29.184695099286518,14.592347549643259,0.0
Combo_MACDCross_BollingerBreakout,RR1.5_SL1.0ATR,NewYork,London_NewYork_Overlap,1,1.0,inf,2.430639625308922,2.430639625308922,0.0
Combo_EMACross_ATRVolatilityFilter,RR2.0_SL1.5ATR,London,Sydney,1,1.0,inf,9.74105342840774,9.74105342840774,0.0
Donchian20_Breakout,RR3.0_SL1.0ATR,Asia,Sydney_Tokyo_Overlap,1,1.0,inf,4.810018418821264,4.810018418821264,0.0
Combo_EMACross_ATRVolatilityFilter,RR2.0_SL1.5ATR,London,Sydney_Tokyo_Overlap,1,1.0,inf,19.504204945229684,19.504204945229684,0.0
Combo_MACDCross_BollingerBreakout,RR3.0_SL1.0ATR,Asia,Sydney_Tokyo_Overlap,1,1.0,inf,4.630789066422904,4.630789066422904,0.0
Donchian20_Breakout,RR2.0_SL1.5ATR,Asia,Sydney_Tokyo_Overlap,2,1.0,inf,11.23740065131041,5.618700325655205,0.0
EMA9_21_Cross,RR1.5_SL1.0ATR,Sydney,Tokyo_London_Overlap,1,1.0,inf,1.5021551532033663,1.5021551532033663,0.0
Combo_RSIReversion_BollingerBand,RR3.0_SL1.0ATR,NewYork,London_NewYork_Overlap,1,1.0,inf,9.33538616492724,9.33538616492724,0.0
Combo_RSIReversion_BollingerBand,RR3.0_SL1.0ATR,London,Sydney_Tokyo_Overlap,1,1.0,inf,8.978103060453241,8.978103060453241,0.0
Combo_RSIReversion_BollingerBand,RR3.0_SL1.0ATR,London_NewYork_Overlap,Sydney,1,1.0,inf,10.830495555903562,10.830495555903562,0.0
Combo_H4Trend_OpeningRangeBreakout,RR3.0_SL1.0ATR,London,Asia,1,1.0,inf,3.197472687857771,3.197472687857771,0.0
