strategy,sltp_profile,entry_session,trades,win_rate,profit_factor,net_profit,expectancy,max_drawdown
EMA9_21_Cross,RR2.0_SL1.5ATR,NewYork,1459,0.3303632625085675,1.0395317567533104,273.8503767617617,0.1876973110087469,-454.58965100489127
Combo_H1Trend_M15DonchianBreakout,RR3.0_SL1.0ATR,Tokyo_London_Overlap,486,0.2736625514403292,1.037259861645476,25.96382385729268,0.05342350587920305,-134.59552170216233
Combo_MACDCross_BollingerBreakout,RR2.0_SL1.5ATR,Sydney_Tokyo_Overlap,1829,0.3559322033898305,1.0351922882055602,131.71570605356655,0.07201514819768537,-284.2344033762795
Opening_Range_Breakout,RR3.0_SL1.0ATR,London_NewYork_Overlap,3468,0.2673010380622837,1.034718570135741,265.72481737726014,0.0766219196589562,-401.0809559533905
Combo_H1Trend_M15DonchianBreakout,RR2.0_SL1.5ATR,Sydney_Tokyo_Overlap,1769,0.355568117580554,1.032050238104213,115.53598704507841,0.06531146808653387,-254.34366166484006
MACD_Cross,RR2.0_SL1.5ATR,Sydney_Tokyo_Overlap,2075,0.3383132530120482,1.0318852523710422,146.5605817627457,0.0706316056687931,-318.86483217130905
Bollinger_Breakout,RR3.0_SL1.0ATR,Asia,726,0.2768595041322314,1.0273189467249428,27.542856583411222,0.03793781898541491,-81.65168510469576
Bollinger_Breakout,RR2.0_SL1.5ATR,London_NewYork_Overlap,2746,0.3408594319009468,1.0198723658519757,150.5601380050892,0.05482889220869963,-423.49588614540653
EMA9_21_Cross,RR2.0_SL1.5ATR,Tokyo_London_Overlap,348,0.3218390804597701,1.0194554750569627,13.66901531849809,0.039278779650856584,-91.48413895924877
RSI_Reversion_30_70,RR3.0_SL1.0ATR,Sydney_Tokyo_Overlap,1422,0.2510548523206751,1.0164324106058802,43.80192149679138,0.03080303902727945,-178.93615867148338
Bollinger_Breakout,RR1.5_SL1.0ATR,Tokyo_London_Overlap,923,0.4106175514626219,1.0156842134531512,16.531687773811058,0.01791082099004448,-112.56313850538005
Combo_H1Trend_M15DonchianBreakout,RR1.5_SL1.0ATR,London_NewYork_Overlap,2839,0.4233885170834801,1.012720782615107,60.01904937129066,0.021140912071606434,-234.91692164168893
Combo_H1Trend_M15DonchianBreakout,RR1.5_SL1.0ATR,Tokyo_London_Overlap,609,0.4236453201970443,1.0124199200441377,8.324405248475642,0.013668974135427983,-107.5352091599028
Combo_MACDCross_BollingerBreakout,RR3.0_SL1.0ATR,London_NewYork_Overlap,2499,0.266906762705082,1.011015431559659,57.87137142119619,0.023157811693155738,-331.17886254092815
Combo_H4Trend_OpeningRangeBreakout,RR3.0_SL1.0ATR,NewYork,1552,0.24806701030927836,1.009255080244346,33.3525656615231,0.02149005519428035,-500.11100596263924
Combo_MACDCross_BollingerBreakout,RR2.0_SL1.5ATR,NewYork,1489,0.32303559435862994,1.0089380210912517,69.88997337044913,0.04693752409029491,-638.2444363270107
Donchian20_Breakout,RR2.0_SL1.5ATR,London_NewYork_Overlap,3008,0.3460771276595745,1.0047870643399917,40.62646645275392,0.013506139113282552,-426.52925438831164
Combo_H4Trend_OpeningRangeBreakout,RR2.0_SL1.5ATR,London,1485,0.37912457912457914,1.004609811002933,14.398786205286484,0.009696152326792246,-203.04946307269677
EMA9_21_Cross,RR3.0_SL1.0ATR,NewYork,1809,0.24322830292979547,1.0043517450460067,28.832991373602397,0.01593863536406987,-524.6797746152032
Combo_H1H4TrendAlign_EMA9_21Cross,RR2.0_SL1.5ATR,London,686,0.3629737609329446,1.0009508829204388,1.315937384920872,0.0019182760713132244,-127.07893243638263
MACD_Cross,RR1.5_SL1.0ATR,Tokyo_London_Overlap,749,0.4218958611481976,0.9986579417613005,-1.222953789467219,-0.001632782095416848,-79.13083757189159
Donchian20_Breakout,RR2.0_SL1.5ATR,NewYork,1842,0.3273615635179153,0.9981478536023899,-19.147797084049046,-0.010395112423479395,-692.7619523042032
Donchian20_Breakout,RR3.0_SL1.0ATR,NewYork,2093,0.2436693741041567,0.9976480111144342,-21.099782915317917,-0.010081119405311952,-712.3822581329749
Combo_EMACross_ATRVolatilityFilter,RR3.0_SL1.0ATR,NewYork,1145,0.2427947598253275,0.9976304862124047,-9.384671393097904,-0.008196219557290746,-375.9784194511746
Combo_EMACross_ATRVolatilityFilter,RR1.5_SL1.0ATR,Sydney_Tokyo_Overlap,215,0.4186046511627907,0.9968888750728702,-1.528571553772501,-0.0071096351338255865,-139.10328117634805
Combo_EMACross_ATRVolatilityFilter,RR2.0_SL1.5ATR,NewYork,972,0.32613168724279834,0.9961973707108629,-17.022807787069837,-0.017513176735668556,-389.64370811747085
Combo_H1H4TrendAlign_EMA9_21Cross,RR2.0_SL1.5ATR,NewYork,842,0.32660332541567694,0.9939524163717028,-23.415821661509142,-0.027809764443597555,-518.1946377617826
Donchian20_Breakout,RR3.0_SL1.0ATR,London_NewYork_Overlap,3440,0.25988372093023254,0.993876548784705,-45.288173831899584,-0.013165166811598716,-578.1152831201734
Opening_Range_Breakout,RR2.0_SL1.5ATR,London_NewYork_Overlap,2903,0.339993110575267,0.9937106481628415,-53.2009774271657,-0.01832620648541705,-591.8909864239308
Opening_Range_Breakout,RR2.0_SL1.5ATR,Sydney_Tokyo_Overlap,2203,0.34906945074897866,0.9936397845328914,-31.128507344147962,-0.014130053265614145,-348.53309838380693
Bollinger_Breakout,RR3.0_SL1.0ATR,London_NewYork_Overlap,3205,0.2514820592823713,0.9896016360627977,-70.59222724583873,-0.02202565592693876,-609.6265879449921
Combo_H1Trend_M15DonchianBreakout,RR3.0_SL1.0ATR,Asia,445,0.2853932584269663,0.9884171753383427,-6.948439450949053,-0.015614470676290007,-60.15599852676866
