source_year,year,entry_time,source,signal,entry_price,timeframe,mfe_target,mae_target,actual_net_profit,session_name,session_is_dst,entry_structure,ea_status,ea_reject_reason,last_bos_age_hours,last_choch_age_hours,choch_to_bos_hours,last_bos_direction,last_choch_direction,bos_choch_aligned,h1_trend_aligned,h1_above_ema200,h1_atr_14,h1_vol_ratio,body_ratio,vol_ratio,atr_14,hour_of_day,day_of_week,session_priority,is_london,is_ny,is_overlap,distance_to_last_ll_pips,distance_to_last_hh_pips,h4_ema200_distance_pct,spread_to_atr_ratio,body_ratio_ea,h4_atr_14,h1_atr_14_pct,h1_ext_ema200_distance_atr,h4_ema200_distance_atr,h1_ext_ema200_distance_pct,h4_vol_ratio,spread_pct,init_risk_points,atr_14_pct,m15_ema200_distance_atr,m15_ema200_distance_pct,spread,body_ratio_min,body_ratio_passed,body_ratio_mode_enc,init_reward_points,initial_rr,momentum_3_atr,momentum_5_atr,momentum_10_atr,session_zone_name,session_zone_is_dst,minutes_from_session_open,minutes_to_session_close,session_range_points,price_position_session_range,distance_to_session_high_atr,distance_to_session_low_atr,h4_atr_14_pct,h1_ext_atr_14_pct,init_risk_pct,double_trend_aligned,mfe_target_norm,mae_target_norm,predicted_mfe,predicted_mae,fold_test_year,fold_train_samples
2024-12-30,2024,2024-11-20 16:30:00,EXECUTED,BUY,2645.67,M15,2779.9999999999727,501.0000000000218,0.0,London_NewYork_Overlap,NO,REJECTED,REJECTED,Max BOS Cycle Limit (2),0.0,61.5,61.5,1,1,1,1,1,5.490714285714246,1.429553264604811,0.6905781584582625,1.260710952744549,4.426428571428622,16,2,2,1,1,1,39.20000000000073,-39.20000000000073,-0.2708462730751074,3.3887364853961204,0.6905781584582625,12.318571428571495,0.2075358712807812,3.95228837966182,-0.5816988304541699,0.0,1.1093411978166348,0.5669641338488928,300.0,0.1673084160696013,5.5310274469549405,0.925387441387522,15.0,0.5,1.0,1.0,300.0,1.0,2.1710505083104765,1.8276585444570077,3.876714539293129,London_NewYork_Overlap,NO,165.0,75.0,1919.0000000000052,0.9692548202188564,0.1332903017589469,4.202033241891169,0.4656125453503837,0.0,11.339282676977854,0.0,4728.480876299718,852.1470931749228,1903.7482488457867,2046.0476736284227,2024,1274
2024-12-30,2024,2024-11-21 02:30:00,EXECUTED,BUY,2657.68,M15,2064.0000000000327,729.9999999999727,0.0,Sydney_Tokyo_Overlap,NO,REJECTED,REJECTED,Max BOS Cycle Limit (2),0.0,71.5,71.5,1,1,1,1,1,5.977142857142845,0.3731143877377511,0.8555045871559425,1.057960381511372,2.1149999999999443,2,3,0,0,0,0,23.299999999999272,-23.299999999999272,0.1836763703958176,7.092198581560471,0.8555045871559425,12.070714285714336,0.2249007727470141,5.272199068314178,0.4044110435546342,0.0,0.8333153867689723,0.5644020348574698,300.0,0.0795806869149011,13.146098114548447,1.046175518206452,15.0,0.5,1.0,1.0,300.0,1.0,2.5815602836880287,3.758865248226964,4.080378250590961,Sydney_Tokyo_Overlap,NO,105.0,315.0,965.0000000000092,0.937823834196854,0.2836879432625908,4.278959810874689,0.45418238033602,0.0,11.288040697149397,0.0,3494.777399837508,1236.0404563378124,1769.5379071020402,2008.0496501568275,2024,1274
2024-12-30,2024,2024-11-22 03:00:00,EXECUTED,BUY,2677.73,M15,4357.999999999993,236.9999999999891,0.0,Sydney_Tokyo_Overlap,NO,REJECTED,REJECTED,Max BOS Cycle Limit (2),0.0,96.0,96.0,1,1,1,1,1,6.067857142857032,0.6897394534878036,0.8901734104045939,1.987441588785047,1.982857142857061,3,4,0,0,0,0,42.60000000000218,-42.60000000000218,0.9058970029698212,8.069164265130016,0.8901734104045939,12.319285714285668,0.2266045173657176,7.115654313763383,1.9690651211615613,0.0,0.8163974182465802,0.5975210346076714,300.0,0.0740499282174476,12.85884538205661,0.9521965775005504,16.0,0.5,1.0,1.0,300.0,1.0,2.40057636887629,4.286743515850321,3.802593659942502,Sydney_Tokyo_Overlap,NO,135.0,285.0,1009.0000000000146,0.9435084241823434,0.2874639769453394,4.801152737752351,0.4600645216017174,0.0,11.20351939889384,0.0,7323.74063105689,398.28511463065763,1848.9473038885187,2018.1853493650524,2024,1274
2024-12-30,2024,2024-11-22 20:45:00,EXECUTED,BUY,2710.89,M15,1042.0000000000073,9528.999999999996,0.0,NewYork,NO,REJECTED,REJECTED,Max BOS Cycle Limit (2),0.0,113.75,113.75,1,1,1,1,1,8.515000000000034,0.9075151930154928,0.7971014492753432,0.7035406698564594,3.3957142857143805,20,4,1,0,1,0,9.00000000000091,-9.00000000000091,2.0458125484525733,4.122843920908593,0.7971014492753432,14.624999999999902,0.3141034863089256,7.75795492500921,3.792118139811715,0.0,1.3239440028071192,0.5164355617527823,300.0,0.1252619724782038,10.563382501091374,1.323190128128448,14.0,0.5,1.0,1.0,300.0,1.0,0.588977702986942,1.6668068994530028,2.376525031552225,NewYork,NO,180.0,120.0,1057.9999999999927,0.9499054820415688,0.1560790912915985,2.959612957509303,0.5394907207595994,0.0,11.066476323273909,0.0,1729.6902493277237,15817.867932671554,2179.2507478656003,2425.242155076485,2024,1274
2024-12-30,2024,2024-11-25 05:15:00,EXECUTED,SELL,2671.51,M15,6665.000000000009,1721.99999999998,0.0,Sydney_Tokyo_Overlap,NO,REJECTED,REJECTED,CHoCH H1 EMA200 Filter,56.5,0.0,56.5,1,-1,0,1,1,10.349285714285738,1.0548952552791968,0.6458803611738186,1.22338332385991,7.175714285714256,5,0,0,0,0,0,-497.99999999999727,497.99999999999727,0.5627612075228666,1.951025283695011,0.6458803611738186,14.579285714285628,0.3873946088274323,2.1653834317540994,1.031204287351522,0.0,0.8882174653691899,0.5240481974613608,300.0,0.268601438351878,-1.623673176598901,-0.4361209506478276,14.0,0.5,1.0,1.0,300.0,1.0,-3.9341031256220935,-4.247660760501649,-5.4461477204857776,Sydney_Tokyo_Overlap,NO,270.0,150.0,6227.999999999975,0.2003853564547217,6.940075652000787,1.7391996814652697,0.5457320284889678,0.0,11.229604231314871,0.0,11226.79683025706,2900.606772948598,2404.328542933884,2256.0545550920847,2024,1274
2024-12-30,2024,2024-11-25 16:15:00,EXECUTED,SELL,2645.01,M15,4015.000000000009,154.99999999997272,124.15,London_NewYork_Overlap,NO,BoS_1,EXECUTED,,0.0,11.0,11.0,-1,-1,1,1,1,12.309999999999976,1.2884689636376023,0.7647058823529308,1.3688779760599816,7.094285714285694,16,0,2,1,1,1,-437.199999999998,437.199999999998,-0.4512451782706768,2.255336286749906,0.7647058823529308,18.297857142857115,0.4654046676572102,-0.5439795863086806,-0.6522884071393272,0.0,1.0363362209147622,0.6049126468330932,300.0,0.2682139468011725,-4.891002484009655,-1.3118350800505685,16.0,0.5,1.0,1.0,300.0,1.0,-5.102698348771637,-5.532621828433363,-5.88783729359647,London_NewYork_Overlap,NO,150.0,90.0,4763.000000000011,0.1016166281755224,6.031614981876774,0.682239226741867,0.6917878247287199,0.0,11.342112128120498,0.0,6830.787029160585,263.70410697875514,3133.130489527556,2463.597989264418,2024,1274
2024-12-30,2024,2024-11-26 13:45:00,EXECUTED,BUY,2633.12,M15,2189.0000000000327,1627.9999999999743,180.70000000000164,London_NewYork_Overlap,NO,NONE,NO_MATCH,,21.5,0.0,21.5,-1,1,0,0,0,9.697142857142872,0.927327157438182,0.2763157894737078,0.8691335740072202,3.84928571428577,13,1,2,1,1,1,9.699999999998,-9.699999999998,-0.848110695579205,3.8968268695490247,0.2763157894737078,23.15071428571436,0.368275766282694,-1.398136684997852,-0.964625629767953,0.0,1.0828393854789604,0.5696664033541958,300.0,0.146187249889324,-4.139022510432295,-0.6050723180301034,15.0,0.5,1.0,1.0,300.0,1.0,0.9456299870105302,0.6494711449248375,3.15123399517534,London_NewYork_Overlap,NO,0.0,240.0,0.0,0.5,0.0,0.0,0.8792122761482333,0.0,11.393328067083916,0.0,3740.9992708270597,2782.2507139818485,2355.0819442462175,2834.7732707539485,2024,1274
2024-12-30,2024,2024-11-27 07:30:00,EXECUTED,BUY,2645.15,M15,1304.9999999999727,2423.000000000002,0.0,Sydney_Tokyo_Overlap,NO,REJECTED,REJECTED,H4 EMA Filter,0.0,17.75,17.75,1,1,1,0,0,6.472142857142932,0.5955866072966125,0.8981324278438163,1.387095023606664,2.746428571428591,7,2,0,0,0,0,32.5,-32.5,-0.3515530976369321,5.461638491547426,0.8981324278438163,21.44928571428581,0.2446796157927879,0.1311428336121295,-0.4335392276466274,0.0,0.508986027121684,0.5670755911763038,300.0,0.1038288403844239,1.646557203503202,0.1709601250663575,15.0,0.5,1.0,1.0,300.0,1.0,2.2465539661898672,1.8023407022107496,3.218725617685336,Sydney_Tokyo_Overlap,NO,405.0,15.0,1875.0,0.9680000000000047,0.2184655396618639,6.608582574772417,0.8108910917825383,0.0,11.341511823526076,0.0,2220.100939455183,4122.072472260555,2405.079588630332,2555.0454086660798,2024,1274
2024-12-30,2024,2024-11-29 04:15:00,EXECUTED,BUY,2660.54,M15,582.9999999999927,3861.999999999989,-71.41,Sydney_Tokyo_Overlap,NO,BoS_2,EXECUTED,,0.0,62.5,62.5,1,1,1,1,1,4.882857142857152,1.779157310791177,0.5282051282051019,1.7867479055597868,3.6999999999999806,4,4,0,0,0,0,23.40000000000145,-23.40000000000145,0.2840581266063996,3.783783783783804,0.5282051282051019,12.253571428571506,0.1835288002757768,3.541746304751753,0.6167573368848381,0.0,0.6864240732841206,0.5262089650973111,300.0,0.1390695122042886,5.296002129886362,0.7365124328361701,14.0,0.5,1.0,1.0,300.0,1.0,3.824324324324369,5.172972972972966,5.875675675675647,Sydney_Tokyo_Overlap,NO,210.0,210.0,2873.999999999978,0.9224077940153084,0.6027027027027108,7.164864864864838,0.4605670814410423,0.0,11.27590639494238,0.0,986.0780142376988,6532.132574590102,1947.5505589784716,1968.2968265339714,2024,1274
2024-12-30,2024,2024-12-02 02:30:00,EXECUTED,SELL,2632.81,M15,1094.9999999999818,1869.0000000000052,-89.06,Sydney_Tokyo_Overlap,NO,CHoCH,EXECUTED,,70.25,0.0,70.25,1,-1,0,0,0,6.917857142857234,0.6837365686205356,0.7765363128491455,1.220198587585621,3.96714285714292,2,0,0,0,0,0,-335.59999999999945,335.59999999999945,-0.7773636117066379,4.537270435721931,0.7765363128491455,12.227857142857212,0.2627556543334777,-1.8856444436875068,-1.673760714266183,0.0,0.4691349000402032,0.6836801744144089,300.0,0.150680940027686,-4.206920405054499,-0.6339027212552654,18.0,0.5,1.0,1.0,300.0,1.0,-3.2592725963268787,-3.33237306445806,-5.026287360460864,Sydney_Tokyo_Overlap,NO,105.0,315.0,2251.000000000022,0.1168369613505145,5.011163125675138,0.662945624774954,0.4644413057857275,0.0,11.394669573573482,0.0,1871.5744774594134,3194.495614951335,1852.783670234876,1842.4268277356464,2024,1274
2024-12-30,2024,2024-12-03 15:45:00,EXECUTED,BUY,2652.85,M15,271.00000000000364,2053.9999999999964,0.0,London_NewYork_Overlap,NO,REJECTED,REJECTED,CHoCH H4 EMA Filter,107.5,0.0,107.5,1,1,1,1,1,5.940000000000055,1.523325429368687,0.8696255201109501,1.435662109009178,3.2150000000000483,15,1,2,1,1,1,13.49999999999909,-13.49999999999909,0.0340248965852592,5.287713841368506,0.8696255201109501,13.755000000000011,0.223910134383778,1.5394063258480124,0.065621917052857,0.0,1.151775697086766,0.6408202499198975,300.0,0.1211904178525,3.238003450752589,0.3924149912045434,17.0,0.5,1.0,1.0,300.0,1.0,2.97045101088634,3.866251944012333,2.438569206842791,London_NewYork_Overlap,NO,120.0,120.0,1582.9999999999927,0.9519898926089564,0.2363919129083069,4.687402799377755,0.5184989728028351,0.0,11.30859264564525,0.0,459.6942910454856,3484.1773941232955,2081.3826488789864,1998.9804175611812,2024,1274
2024-12-30,2024,2024-12-04 15:00:00,EXECUTED,SELL,2633.88,M15,0.0,2310.9999999999677,-163.33,London_NewYork_Overlap,NO,CHoCH,EXECUTED,,130.75,0.0,130.75,1,-1,0,0,0,5.170714285714309,1.1693701513589758,0.4375987361769374,1.261365834784291,3.143571428571412,15,2,2,1,1,1,15.700000000001635,174.89999999999782,-0.6724701174164581,5.72597137014318,0.4375987361769374,12.586428571428574,0.1963154845974117,-1.911358579285516,-1.4072344532121923,0.0,1.1044220246674237,0.6834024329126611,300.0,0.1193513534622462,-2.966603412125684,-0.3540681324229183,18.0,0.5,1.0,1.0,300.0,1.0,-2.9870483980913183,-3.931833674164879,-2.449443308338969,London_NewYork_Overlap,NO,75.0,165.0,1422.0000000000257,0.1104078762306705,4.024085435128431,0.4994319472847627,0.4778664392997621,0.0,11.390040548544352,0.0,0.0,3948.357556152845,658.7300269983728,2638.491196217749,2024,1274
2024-12-30,2024,2024-12-04 16:15:00,EXECUTED,BUY,2652.15,M15,483.9999999999691,1888.000000000011,0.0,London_NewYork_Overlap,NO,REJECTED,REJECTED,CHoCH H4 EMA Filter,132.0,0.0,132.0,1,1,1,1,1,6.207857142857165,1.5635494183703624,0.4497549019608012,1.2784900284900285,4.821428571428571,16,2,2,1,1,1,7.800000000002001,-7.800000000002001,0.0222124995569375,3.111111111111111,0.4497549019608012,12.640714285714305,0.234068855187571,1.3434870141673512,0.0466040758207067,0.0,1.1280118283868592,0.5655788699734178,300.0,0.1817932082057414,1.807259861288212,0.3285475682450472,15.0,0.5,1.0,1.0,300.0,1.0,1.516148148148137,3.78933333333333,1.225777777777842,London_NewYork_Overlap,NO,150.0,90.0,2086.999999999989,0.9506468615237302,0.2136296296295768,4.114962962962993,0.4766213934247423,0.0,11.311577399468357,0.0,821.2205192013502,3203.4387195294566,2094.3546939714256,1977.4292180531224,2024,1274
2024-12-30,2024,2024-12-05 19:00:00,EXECUTED,SELL,2627.65,M15,1532.9999999999927,1794.9999999999818,-107.42,NewYork,NO,CHoCH,EXECUTED,,158.75,0.0,158.75,1,-1,0,0,0,7.225714285714178,1.353212824910938,0.8417508417508555,0.869401438957321,5.52071428571425,19,3,1,0,1,0,-293.3999999999969,293.3999999999969,-0.9047005116832436,3.622719627377433,0.8417508417508555,11.539999999999996,0.274987699492481,-2.363157503948714,-2.0599967933487657,0.0,1.0507933659736997,0.7611363766102791,300.0,0.2101008233864575,-3.27501845361623,-0.6880840737106126,20.0,0.5,1.0,1.0,300.0,1.0,-1.7696985379738728,-2.278690645620392,-3.521283477810875,NewYork,NO,75.0,225.0,1636.999999999989,0.0372632864997025,2.854703066373374,0.1104929486350347,0.4391756893041308,0.0,11.417045649154186,0.0,2625.349647022993,3074.0395410347337,1852.819636857787,1878.7160927366854,2024,1274
2024-12-30,2024,2024-12-09 03:15:00,EXECUTED,BUY,2648.98,M15,2734.0000000000146,1438.9999999999873,0.0,Sydney_Tokyo_Overlap,NO,REJECTED,REJECTED,CHoCH H4 EMA Filter,239.0,0.0,239.0,1,1,1,0,0,8.026428571428498,1.0005227912071497,0.7570207570207718,1.8135376756066413,5.366428571428481,3,0,0,0,0,0,-15.099999999997635,15.099999999997635,-0.0372022936831456,3.913217090376746,0.7570207570207718,13.636428571428496,0.3030007237286993,0.8467051814860106,-0.0722682859405435,0.0,0.7104487615442996,0.7927579672175704,300.0,0.2025847145478063,1.961896253949196,0.3974501925787085,21.0,0.5,1.0,1.0,300.0,1.0,3.829362438440136,2.3348861972581623,3.0392652735259293,Sydney_Tokyo_Overlap,NO,150.0,270.0,2291.999999999962,0.9341186736474788,0.281378943165141,3.989617995474551,0.5147803521139644,0.0,11.325113817393865,0.0,4644.429176513248,2444.5258174844444,2071.287151610768,2191.4944268204654,2024,1274
2024-12-30,2024,2024-12-09 11:00:00,EXECUTED,BUY,2652.23,M15,2409.0000000000146,96.00000000000364,0.0,London,NO,REJECTED,REJECTED,H4 EMA Filter,0.0,7.75,7.75,1,1,1,1,1,7.77142857142852,1.0265462061917925,0.8463768115942686,0.9845207191616192,2.914999999999899,11,0,3,1,0,0,17.400000000002365,-17.400000000002365,0.0909373856715051,5.145797598627966,0.8463768115942686,14.811428571428484,0.2930148807391711,1.2771459022324656,0.1628383523145025,0.0,1.0920364629124055,0.5655618102502422,300.0,0.1099075117919599,4.252525701056694,0.4673845186345012,15.0,0.5,1.0,1.0,300.0,1.0,1.5025728987994036,0.576329331046276,3.457975986277968,London,NO,75.0,165.0,613.0000000000109,1.0,0.0,2.1029159519726663,0.5584518903499501,0.0,11.311236205004844,0.0,4087.315202678525,162.88180135207594,2007.5004269577187,2163.4212471800824,2024,1274
