Ticket,Symbol,Type,EntryPrice,ExitPrice,SL,TP,Profit,Spread_Cost,Commission,Swap,Net_Profit,Session,Session_IsDST,EntryTime,ExitTime,LotSize,MagicNumber,Timeframe,Status,Reject_Reason
0,XAUUSD,BUY,1878.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sydney_Tokyo_Overlap,YES,2023.10.12 04:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
68,XAUUSD,BUY,1886.36,1916.36,1857.91,1916.36,149.95,0.25,0.00,0.00,149.95,London,YES,2023.10.13 12:30:00,2023.10.13 15:34:37,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,1963.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,YES,2023.10.24 13:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
0,XAUUSD,SELL,1970.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NewYork,NO,2023.11.01 20:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
71,XAUUSD,BUY,2003.47,1973.42,1973.47,2033.47,-150.15,0.25,0.00,-1.26,-151.41,London_NewYork_Overlap,NO,2023.11.03 14:45:00,2023.11.07 04:44:25,0.01,12345,M15,EXECUTED,N/A
70,XAUUSD,BUY,1987.82,1957.82,1957.82,2017.82,-150.05,0.25,0.00,-6.30,-156.35,Sydney_Tokyo_Overlap,YES,2023.10.26 07:15:00,2023.11.07 14:51:30,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,1951.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,NO,2023.11.08 17:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
0,XAUUSD,SELL,1946.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,NO,2023.11.09 10:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
0,XAUUSD,BUY,1956.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,NO,2023.11.14 15:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
74,XAUUSD,SELL,1942.58,1972.58,1972.58,1912.58,-149.70,0.25,0.00,-0.69,-150.39,London_NewYork_Overlap,NO,2023.11.10 17:00:00,2023.11.15 10:30:40,0.01,12345,M15,EXECUTED,N/A
75,XAUUSD,BUY,1972.00,2002.02,1951.52,2002.00,149.25,0.25,0.00,-3.78,145.47,London,NO,2023.11.15 10:30:00,2023.11.21 16:30:19,0.01,12345,M15,EXECUTED,N/A
77,XAUUSD,BUY,1988.68,2018.74,1958.68,2018.68,150.05,0.25,0.00,-5.67,144.38,London,NO,2023.11.17 11:00:00,2023.11.28 15:42:27,0.01,12345,M15,EXECUTED,N/A
80,XAUUSD,BUY,2020.09,2050.13,1995.69,2050.09,150.00,0.25,0.00,-0.63,149.37,London_NewYork_Overlap,NO,2023.11.28 15:45:00,2023.11.29 03:00:28,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,2021.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,NO,2023.12.05 17:00:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
82,XAUUSD,SELL,1992.77,2017.72,2017.71,1962.77,-124.60,0.25,0.00,-0.46,-125.06,London,NO,2023.12.11 10:00:00,2023.12.13 22:18:03,0.01,12345,M15,EXECUTED,N/A
84,XAUUSD,BUY,2040.13,2070.14,2010.13,2070.13,149.70,0.25,0.00,-5.04,144.66,London,NO,2023.12.14 10:30:00,2023.12.22 16:44:16,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,2062.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,NO,2023.12.29 12:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
