base_ref,base_lot,is_compound,trailing_dist,initial_tp_dist,min_sl_dist,sl_safety_buffer,be_trigger,pt_exit,total_trades,wins,losses,win_rate,total_net_pnl,final_balance,max_dd_usd,max_dd_pct,profit_factor
2000.0,0.15,False,20.0,35.0,10.0,3.0,8.0,250.0,78,41,37,52.56,309.67,1309.67,875.39,63.09,1.06
2000.0,0.15,False,20.0,40.0,10.0,3.0,8.0,250.0,78,41,37,52.56,309.67,1309.67,875.39,63.09,1.06
2000.0,0.15,False,20.0,20.0,12.0,3.0,8.0,0.0,78,39,39,50.0,308.06,1308.06,968.55,58.92,1.06
2500.0,0.25,False,25.0,30.0,12.0,2.0,8.0,0.0,78,25,53,32.05,306.25,1306.25,1666.71,72.16,1.03
2000.0,0.3,False,20.0,35.0,12.0,3.0,10.0,0.0,78,39,39,50.0,300.19,1300.19,1894.93,88.31,1.03
2500.0,0.15,False,25.0,25.0,10.0,3.0,8.0,350.0,78,28,50,35.9,299.34,1299.34,980.93,55.32,1.05
2500.0,0.15,False,25.0,25.0,12.0,3.0,8.0,350.0,78,28,50,35.9,299.34,1299.34,980.93,55.32,1.05
2500.0,0.15,False,25.0,30.0,10.0,3.0,8.0,350.0,78,28,50,35.9,299.34,1299.34,980.93,55.32,1.05
2500.0,0.15,False,25.0,30.0,12.0,3.0,8.0,350.0,78,28,50,35.9,299.34,1299.34,980.93,55.32,1.05
2500.0,0.15,False,25.0,35.0,10.0,3.0,8.0,350.0,78,28,50,35.9,299.34,1299.34,980.93,55.32,1.05
2500.0,0.15,False,25.0,35.0,12.0,3.0,8.0,350.0,78,28,50,35.9,299.34,1299.34,980.93,55.32,1.05
2500.0,0.15,False,25.0,40.0,10.0,3.0,8.0,350.0,78,28,50,35.9,299.34,1299.34,980.93,55.32,1.05
2500.0,0.15,False,25.0,40.0,12.0,3.0,8.0,350.0,78,28,50,35.9,299.34,1299.34,980.93,55.32,1.05
2000.0,0.25,False,20.0,35.0,10.0,3.0,10.0,0.0,78,39,39,50.0,298.78,1298.78,1566.72,78.08,1.03
2000.0,0.2,False,20.0,35.0,10.0,3.0,10.0,0.0,78,39,39,50.0,295.31,1295.31,1232.32,68.89,1.04
2000.0,0.1,False,25.0,35.0,12.0,3.0,8.0,350.0,78,38,40,48.72,292.57,1292.57,572.67,40.93,1.08
2000.0,0.1,False,25.0,40.0,12.0,3.0,8.0,350.0,78,38,40,48.72,292.57,1292.57,572.67,40.93,1.08
2000.0,0.1,False,25.0,35.0,10.0,3.0,8.0,0.0,78,38,40,48.72,291.33,1291.33,584.56,39.44,1.08
2000.0,0.2,False,25.0,40.0,12.0,3.0,8.0,0.0,78,38,40,48.72,288.84,1288.84,1275.19,68.46,1.04
2000.0,0.25,False,25.0,40.0,12.0,3.0,8.0,0.0,78,38,40,48.72,287.67,1287.67,1615.44,79.48,1.03
2000.0,0.2,False,25.0,30.0,12.0,3.0,8.0,0.0,78,38,40,48.72,284.05,1284.05,1359.04,66.29,1.04
2000.0,0.25,False,25.0,30.0,12.0,3.0,8.0,0.0,78,38,40,48.72,283.29,1283.29,1743.83,76.56,1.03
2000.0,0.15,False,20.0,20.0,12.0,3.0,8.0,250.0,78,41,37,52.56,282.25,1282.25,875.39,65.35,1.05
2000.0,0.15,False,20.0,25.0,12.0,3.0,8.0,250.0,78,41,37,52.56,282.25,1282.25,875.39,65.35,1.05
2000.0,0.15,False,20.0,30.0,12.0,3.0,8.0,250.0,78,41,37,52.56,282.25,1282.25,875.39,65.35,1.05
2000.0,0.15,False,20.0,35.0,12.0,3.0,8.0,250.0,78,41,37,52.56,282.25,1282.25,875.39,65.35,1.05
2000.0,0.15,False,20.0,40.0,12.0,3.0,8.0,250.0,78,41,37,52.56,282.25,1282.25,875.39,65.35,1.05
2000.0,0.3,False,20.0,30.0,10.0,3.0,8.0,0.0,78,38,40,48.72,277.37,1277.37,1618.31,77.26,1.03
2000.0,0.1,False,25.0,35.0,12.0,3.0,8.0,0.0,78,38,40,48.72,272.74,1272.74,584.56,40.93,1.07
2500.0,0.15,False,25.0,20.0,10.0,2.0,8.0,350.0,78,29,49,37.18,264.25,1264.25,871.24,57.75,1.05
2500.0,0.15,False,25.0,20.0,12.0,2.0,8.0,350.0,78,29,49,37.18,262.22,1262.22,873.27,57.88,1.05
2000.0,0.1,False,20.0,25.0,10.0,3.0,8.0,250.0,78,38,40,48.72,261.33,1261.33,617.39,38.29,1.08
2000.0,0.1,False,20.0,30.0,10.0,3.0,8.0,250.0,78,38,40,48.72,260.56,1260.56,617.39,38.29,1.08
2000.0,0.1,False,20.0,35.0,10.0,3.0,8.0,250.0,78,38,40,48.72,260.56,1260.56,617.39,38.29,1.08
2000.0,0.1,False,20.0,40.0,10.0,3.0,8.0,250.0,78,38,40,48.72,260.56,1260.56,617.39,38.29,1.08
2000.0,0.2,False,20.0,35.0,12.0,3.0,10.0,0.0,78,39,39,50.0,258.36,1258.36,1247.05,70.99,1.03
2000.0,0.25,False,20.0,35.0,12.0,3.0,10.0,0.0,78,39,39,50.0,252.77,1252.77,1566.72,80.45,1.03
2000.0,0.1,False,20.0,40.0,10.0,3.0,8.0,0.0,78,38,40,48.72,249.46,1249.46,534.71,38.3,1.07
2000.0,0.2,False,20.0,30.0,10.0,3.0,0.0,150.0,78,53,25,67.95,246.13,1246.13,1078.0,50.33,1.04
2000.0,0.2,False,20.0,30.0,10.0,3.0,8.0,150.0,78,53,25,67.95,246.13,1246.13,1078.0,50.33,1.04
2000.0,0.2,False,20.0,30.0,10.0,3.0,10.0,150.0,78,53,25,67.95,246.13,1246.13,1078.0,50.33,1.04
2000.0,0.2,False,20.0,30.0,10.0,3.0,12.0,150.0,78,53,25,67.95,246.13,1246.13,1078.0,50.33,1.04
2000.0,0.2,False,20.0,35.0,10.0,3.0,0.0,150.0,78,53,25,67.95,246.13,1246.13,1078.0,50.33,1.04
2000.0,0.2,False,20.0,35.0,10.0,3.0,8.0,150.0,78,53,25,67.95,246.13,1246.13,1078.0,50.33,1.04
2000.0,0.2,False,20.0,35.0,10.0,3.0,10.0,150.0,78,53,25,67.95,246.13,1246.13,1078.0,50.33,1.04
2000.0,0.2,False,20.0,35.0,10.0,3.0,12.0,150.0,78,53,25,67.95,246.13,1246.13,1078.0,50.33,1.04
2000.0,0.2,False,20.0,40.0,10.0,3.0,0.0,150.0,78,53,25,67.95,246.13,1246.13,1078.0,50.33,1.04
2000.0,0.2,False,20.0,40.0,10.0,3.0,8.0,150.0,78,53,25,67.95,246.13,1246.13,1078.0,50.33,1.04
2000.0,0.2,False,20.0,40.0,10.0,3.0,10.0,150.0,78,53,25,67.95,246.13,1246.13,1078.0,50.33,1.04
2000.0,0.2,False,20.0,40.0,10.0,3.0,12.0,150.0,78,53,25,67.95,246.13,1246.13,1078.0,50.33,1.04
2000.0,0.2,False,20.0,20.0,10.0,3.0,0.0,150.0,78,53,25,67.95,246.13,1246.13,1078.0,50.33,1.04
2000.0,0.2,False,20.0,20.0,10.0,3.0,8.0,150.0,78,53,25,67.95,246.13,1246.13,1078.0,50.33,1.04
2000.0,0.2,False,20.0,20.0,10.0,3.0,10.0,150.0,78,53,25,67.95,246.13,1246.13,1078.0,50.33,1.04
2000.0,0.2,False,20.0,20.0,10.0,3.0,12.0,150.0,78,53,25,67.95,246.13,1246.13,1078.0,50.33,1.04
2000.0,0.2,False,20.0,25.0,10.0,3.0,0.0,150.0,78,53,25,67.95,246.13,1246.13,1078.0,50.33,1.04
